address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff,class
1GiHW3e9UihVdmr8qHWWGDfFxip6rRczF6,83792958.0,2,87,3.333333333333333,70,21,325876.0,860649.9230770001,3853277.0,996.0,41.60001619,41.60001619,1.9809531518999999,0.594285945571,41.60001619000001,0
1LrW2UF9FSCTR8imqKz89zvRyRJMXjxgwF,92597493.0,4,123,6.05,121,20,48433.5,332504.444444,3109693.0,485.0,107.78602669,107.78602669,5.389301334500001,0.8907936090080001,107.78602669000006,0
1Fy1aueDDfS9WEJM7MaKKDhgguBzgsNL69,2514193.0,4,22,3.375,27,8,1595.0,29528.375,130277.0,270.0,13.37,19.59,1.67125,0.725555555556,19.59,0
1EkYUTpcnHwzN3317AWtNFVfVb18hLnrqd,29249084.0,6,28,4.375,35,8,24263.0,66816.0,216769.0,1969.0,22.05,22.05,2.75625,0.63,22.050000000000004,0
1AESQDLZuwM4ZD3kBAxqm1PRqzGA2HYSVt,6342793.0,6,18,5.333333333333333,32,6,263051.5,308960.75,697287.0,12453.0,1.93838602,1.93838602,0.323064336667,0.060574563125,1.93838602,0
1NVbbD7FdRuAac4LxShozbXnGpQHbXxF7u,2033306.0,6,16,1.0,17,17,8649.0,23449.0,190199.0,1237.0,2.05,2.05,0.120588235294,0.120588235294,2.0500000000000007,0
1Frex93jaEFJ2ZE3yhK8HKvw22gCaEQoyr,56997089.0,136,125,1.6923076923076923,176,104,0.0,89057.445783,5584730.0,0.0,5927.6657081,5927.6657081,56.99678565479999,33.679918795999995,5927.6657081,0
1JMX1dFAuXmzrwvS3XPenz38NqfhZdeius,8198273.0,9,69,14.5,203,14,24668.5,40022.583332999995,182434.0,1756.0,26.94406709,26.94406709,1.92457622071,0.132729394532,26.944067090000004,0
1EThyoKaNdGdvuKPDLFcivURUYirKNS6sb,24069775.0,5,234,4.7,376,80,5770.0,17568.987342,171251.0,0.0,83.36001,83.36001,1.042000125,0.221702154255,83.36000999999997,0
1ABzRevHVGHKTCxSXBxjSLMkMTmWK1v8J7,136372876.0,9,117,22.0,352,16,13223.0,3271456.3846150003,42329652.0,1286.0,81.20193115,82.47003401,5.07512069687,0.23428986934700002,82.47003400999998,0
1Nwi5UVqx8P7FXZJqkcar9vURWcTckvFyE,3283912.0,6,34,1.027027027027027,38,37,7680.5,17795.033333000003,95761.0,884.0,39.35,39.35,1.06351351351,1.0355263157899999,39.35,0
1NHHbQznyPo3dw8YVENZqyRvq5nK25tvbL,8781086.0,8,99,1.101851851851852,119,108,19132.0,22452.5,85818.0,0.0,162.05,162.05,1.5004629629600001,1.36176470588,162.05000000000015,0
1NbLPvDEvpcbKXKoAukwMaoXKJeDgRpbyy,26620479.0,183,140,1.510936132983377,1727,1143,220.0,3807.221622,56764.0,0.0,2266.91,2266.91,1.98329833771,1.3126288361299998,2266.9100000001267,0
1PS3D9eHzDsJ8f5W8t8ne5tMgNTCmMeYjb,4496358.0,12,39,1.0,43,43,16615.0,27787.041667,97465.0,0.0,61.44,61.44,1.4288372093000001,1.4288372093000001,61.44000000000001,0
1sX4PwCaVousncKB6Neue4PTFveo45jCG,49950689.0,3,207,7.366666666666666,221,30,24460.0,50149.344827999994,264664.0,1733.0,805.85125125,805.85125125,26.861708375,3.64638575226,805.85125125,0
18fJ5Rx34jBDajpGZ3nHHNmTCK9n74MH9X,3634687.0,9,38,10.272727272727273,113,11,3544.0,23471.9,101617.0,0.0,16.854,16.854,1.53218181818,0.149150442478,16.854,0
19UR75qMuyvwArYDa9VQ8qVhyPGj8UJCH5,39651176.0,2,29,15.5,31,2,5141.0,5141.0,5141.0,5141.0,0.12,0.62702675,0.06,0.0202266693548,0.6270267500000002,0
12x7SoPBxe5sKHQk9bZhT5Mjhms6iCqveN,1276360.0,9,10,1.0,14,14,9245.5,16737.4,68239.0,2035.0,164.48,164.48,11.748571428599998,11.748571428599998,164.48000000000005,0
1Ch8zKeGY4RKCTsXD8TZhM6xGxC4aTZmSa,2561547.0,53,10,7.5,60,8,0.0,33173.145455,731931.0,0.0,96.75,96.75,12.09375,1.6125,96.75,0
19JFgyx9icSfwrqApzBST46SSq8Wf4oMn5,12699123.0,4,45,2.933333333333333,44,15,49453.0,34418.666667000005,54252.0,4056.0,16.42,16.42,1.09466666667,0.37318181818199997,16.42,0
179ThTigNK8yQS243T7U3V1B6yhs8FQVfQ,5314082.0,2,28,7.25,29,4,110181.0,105681.333333,205522.0,1341.0,1.04,1.04,0.26,0.0358620689655,1.0400000000000005,0
16TBfyeJEkT3aaJXzgshmNMzP6VFLg6T9B,54148629.0,4,21,1.2222222222222223,22,18,7589.0,25320.0,180328.0,443.0,76.89,76.89,4.27166666667,3.495,76.89000000000001,0
1JfE2f4BZyD6EUPFx2CoDcNN85JQg1KRD,8146419.0,4,21,1.4285714285714286,20,14,6239.0,44417.75,154250.0,433.0,952.28431789,952.28431789,68.02030842069999,47.6142158945,952.28431789,0
12dngCVu1WnjaRnSTp12vqY6cPYQhH4Bva,7248132.0,5,37,1.022222222222222,46,45,18604.0,31994.947368,395847.0,607.0,257.99,257.99,5.7331111111099995,5.60847826087,257.99,0
14ckbQJx7npVcaGXsWZRDw51D2gHaHmKfz,36652379.0,3,28,2.142857142857143,30,14,39443.0,2072189.538462,26124915.0,1807.0,0.74,0.74,0.0528571428571,0.0246666666667,0.7400000000000002,0
19WccxXvqJ1ZAMZ3EXszWviVxwXjty5xoE,193012616.0,3,22,7.0,28,4,25910.0,25910.0,25910.0,25910.0,17.93,17.93,4.4825,0.640357142857,17.93,0
1MFRTu8ytxugtZSJSfdvyCopMu9vRYHNB5,61335378.0,2,323,21.2,318,15,52772.0,77630.923077,492434.0,1028.0,169.04079195,169.04079195,11.26938613,0.5315748174530001,169.04079195000008,0
1Ef9tVdaJcoDSHLWF37ArWhoUittmuoBTM,95137136.0,10,44,21.5,86,4,3985.0,3985.0,4014.0,3956.0,27.55344942,27.55344942,6.7043022625,0.31182801220899997,26.817209050000024,0
198qyBoDC1qzQMLXAR2Tu7tRi6vwYtFC8u,45143821.0,4,28,8.2,41,5,13191.0,13191.0,17132.0,9250.0,45.15,45.15,9.03,1.1012195122,45.15,0
18dWzde6tFyDFc6tAD1t8nh7rNfYn2zvvT,114559807.0,23,96,1.2396694214876034,150,121,7291.5,68949.403846,925603.0,0.0,180.06875388,180.06875388,1.48817151967,1.2004583592,180.06875387999997,0
1G5rnrsTwKF42NhnW2ucwDJKEy6ejgX6Ez,1648684.0,26,15,1.0,34,34,4033.5,4258.875,14641.0,0.0,13.39,13.39,0.39382352941200005,0.39382352941200005,13.390000000000002,0
13demyqwdkVUTaGeXjY9EiPemgitEgAsHv,193714889.0,8,25,81.0,81,1,26670384.0,26670384.0,26670384.0,26670384.0,5.39583246,5.42009511,5.39583246,0.0669147544444,5.420095109999997,0
1FfkqN26GZuHmQD9kspS2LnfgrKb9txqTh,4105210.0,5,22,1.0625,17,16,34730.0,58079.666667,271930.0,5297.0,61.72621915,61.72621915,3.8578886968800004,3.63095406765,61.72621915,0
18YuGYo6s5WaBMrFW6gAxaXZ4wGVMQh3kv,20729988.0,30,67,1.0769230769230769,98,91,10756.0,28837.571429000003,342553.0,0.0,354.43,354.43,3.8883516483499996,3.6106122449,353.83999999999986,0
1K2GvTVPNHstcj9mDYFnEQHL1rauRewo7T,5253018.0,352,16,0.976158940397351,1474,1510,0.0,198.012238,119359.0,0.0,66.73,66.73,0.0438609271523,0.0449321573948,66.22999999999972,0
1FnLJQSK6frt5BwG8Q6Kwj1dPALc1simxg,75174220.0,3,32,3.1818181818181817,35,11,103234.0,82035.0,112623.0,30248.0,71.51,71.51,6.50090909091,2.0431428571400003,71.51000000000002,0
13xxGt4gDFMmrotQgoMyNKrrC3sRcabwtv,105635748.0,6,31,6.857142857142858,48,7,2556.0,12141293.0,48560060.0,0.0,13.95585712,13.95585715,1.82390816,0.265986607292,12.767357150000002,0
1K4MRPgRajBatWLu2FTk8pLWWZEUSFAGBK,131253814.0,3,23,1.7272727272727273,19,11,58631.5,92197.75,250360.0,1168.0,15.9628671,15.9628671,1.29336660545,0.748791192632,14.22703266,0
13yu6QREAmBDiZL1VzppZH6j5P1aakWowz,13161088.0,3,37,1.48,37,25,13268.5,37069.85,243446.0,67.0,98.83,98.83,3.9532,2.6710810810799996,98.83000000000004,0
161ntD1b8XtWbWeedKvoZjJnGm9B48KtBe,7086171.0,4,46,1.0810810810810811,40,37,33507.0,55742.772726999996,383486.0,6755.0,7504.47974231,7504.47974231,202.82377681900002,187.611993558,7504.47974231,0
1E4uh6r69HSjHE2mL3CYugTxBzPrYRLNWd,14220425.0,4,27,1.0,20,20,18122.0,64905.777777999996,330421.0,3097.0,15.101664,15.101664,0.7550832,0.7550832,15.101664000000001,0
