address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,addresses_in_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff,class
14DGbFh4SqDF9dvddfjM5m9sic5GoRExVV,57393486,"('2011-05-08', 18)",126,1.427184466,147,103,67,19171.5,188735.4194,3550979,0,171.6895429,171.6895429,1.666888766,1.167956074,171.6895429,0
1HbRBT4qCyLwALg6cHgfitruAe3NfpGpTD,3837914,"('2011-06-15', 2)",37,4.375,35,8,64,52983,60670.4,99821,33584,52.63,52.63,6.57875,1.503714286,52.63,0
1Ht4rVg3b5nakVaa83fkbjcYqmEpJXTXq1,218434703,"('2011-01-15', 2)",29,9.333333333,28,3,48,3534584,3534584,3534584,3534584,22.09636412,22.09636412,7.365454707,0.789155861,22.09636412,0
1ezt4auq8JtxA2jiv4QGKZAjVrCiUXV1F,3207223,"('2011-06-16', 3)",22,4.333333333,26,6,67,8931,7252.5,13198,566,27.99,29.99,4.665,1.153461538,29.99,0
1GViH5ksvwfNnvKASB7wERXqbBAWk9PTmU,2080604,"('2011-06-09', 8)",17,1.034482759,30,29,67,4676,13344.28571,132657,0,23.4397,23.4397,0.808265517,0.781323333,23.4397,0
1NiKtELYAkahfPdQdKiJnvUxdGuk7H2YK,198183388,"('2012-05-17', 4)",81,1.875,75,40,67,7509,427171.6667,6468178,348,391.8254561,391.8254561,9.795636403,5.224339415,391.8254561,0
1EwnNdmmoeE5EbNgicLTQcjarpd7u9Fipb,69555656,"('2011-03-26', 4)",21,1.416666667,17,12,67,39170.5,69905.33333,189137,19385,35.36770759,35.36770759,2.947308966,2.080453388,35.36770759,0
12wAbWDRCw88VepQUvJTuxPDA8ujANvbtH,201532878,"('2011-02-20', 4)",74,7.636363636,84,11,67,43677,3253289.182,34551114,1028,164.3,164.5853303,14.93636364,1.95934917,164.5853303,0
1KeA6FdWZ7DZW3v22f77mGGHtpnoNxzQfW,8150411,"('2011-06-04', 3)",20,1.125,18,16,67,1979,36997.46667,281022,343,26.00003112,26.00003112,1.625001945,1.444446173,26.00003112,0
14utochrw9krxWpw2KUnVGZho1gL1NExt3,702464,"('2011-05-01', 48)",5,2.12,53,25,67,0,3526.633333,42819,0,13.39,13.39,0.5356,0.252641509,13.39,0
